Time (UTC),TEC (TECU)
2024-04-09 11:06:00,131.10452736539685
2024-04-09 11:06:30,128.88645045255336
2024-04-09 11:07:00,124.37413957446712
2024-04-09 11:07:30,118.57667680139241
2024-04-09 11:08:00,113.35991227542955
2024-04-09 11:08:30,116.52995349582545
2024-04-09 11:09:00,119.00506073092514
2024-04-09 11:09:30,116.89169992914903
2024-04-09 11:10:00,122.0799055382975
2024-04-09 11:10:30,116.71082673021895
2024-04-09 11:11:00,118.84322682169247
2024-04-09 11:11:30,114.86401591327945
2024-04-09 11:12:00,116.81554277035944
2024-04-09 11:12:30,117.75798748625833
2024-04-09 11:13:00,122.43213230904067
2024-04-09 11:13:30,123.91719669265659
2024-04-09 11:14:00,120.52820369393585
2024-04-09 11:14:30,115.4351944978109
2024-04-09 11:15:00,116.75842493673072
2024-04-09 11:15:30,117.29152494186737
2024-04-09 11:16:00,112.1128389952993
2024-04-09 11:16:30,114.8164177067677
2024-04-09 11:17:00,116.72986601991634
2024-04-09 11:17:30,107.8289995226549
2024-04-09 11:18:00,106.76279947691815
2024-04-09 11:18:30,104.74463512362898
2024-04-09 11:19:00,109.54253531171267
2024-04-09 11:19:30,113.33135335861519
2024-04-09 11:20:00,115.40663558099654
2024-04-09 11:20:30,110.41834249593893
2024-04-09 11:21:00,100.48935456779896
2024-04-09 11:21:30,103.1738939541065
2024-04-09 11:22:00,109.1617495886917
2024-04-09 11:22:30,115.98733382810839
2024-04-09 11:23:00,116.16820702703843
2024-04-09 11:23:30,114.34995516237674
2024-04-09 11:24:00,108.21930490825626
2024-04-09 11:24:30,109.61869247050222
2024-04-09 11:25:00,108.50489418279027
2024-04-09 11:25:30,106.610485159339
2024-04-09 11:26:00,111.18943360456127
2024-04-09 11:26:30,115.57798915280962
2024-04-09 11:27:00,105.97266911406184
2024-04-09 11:27:30,105.6585208517866
2024-04-09 11:28:00,105.74419763769315
2024-04-09 11:28:30,105.46812799027612
2024-04-09 11:29:00,102.71695107229597
2024-04-09 11:29:30,104.12585829712235
2024-04-09 11:30:00,106.86751558798551
2024-04-09 11:30:30,102.78358856850512
2024-04-09 11:31:00,97.61442228451747
2024-04-09 11:31:30,97.65250082844882
2024-04-09 11:32:00,101.63171173686183
2024-04-09 11:32:30,102.94542251320124
2024-04-09 11:33:00,101.51747599867748
2024-04-09 11:33:30,103.07869754108299
2024-04-09 11:34:00,105.43956907346175
2024-04-09 11:34:30,108.41921743234717
2024-04-09 11:35:00,105.12542084664994
2024-04-09 11:35:30,103.04061896168821
2024-04-09 11:36:00,103.3547671885
2024-04-09 11:36:30,105.3634119146722
